index	name
1	Lateral Ventricle Left
2	Lateral Ventricle Right
3	CSF
4	Third Ventricle
5	Fourth Ventricle
6	5th Ventricle
7	Nucleus Accumbens Left
8	Nucleus Accumbens Right
9	Caudate Left
10	Caudate Right
11	Putamen Left
12	Putamen Right
13	Globus Pallidus Left
14	Globus Pallidus Right
15	Brainstem
16	Thalamus Left
17	Thalamus Right
18	Inferior Horn of the Lateral Ventricle Left
19	Inferior Horn of the Lateral Ventricle Right
20	Hippocampal Formation Left
21	Hippocampal Formation Right
22	Amygdala Left
23	Amygdala Right
24	Optic Chiasm
25	VDC Anterior Left
26	VDC Anterior Right
27	VDC Posterior Left
28	VDC Posterior Right
29	Cerebellar Cortex Left
30	Cerebellar Cortex Right
31	Cerebellar White Matter Left
32	Cerebellar White Matter Right

